0 0.00058505 0.00057171
1 -1.932 0.93313
0 0.00031678 0.00031146
1 -1.9499 0.9505
0 0.00041307 0.00040515
1 -1.9428 0.94361
0 0.00052669 0.00051529
1 -1.9354 0.93648
0 6.6051e-05 6.5544e-05
1 -1.9771 0.97719
0 0.0040938 0.0038469
1 -1.8218 0.82972
0 0.00025389 0.00025008
1 -1.9551 0.95561
0 0.00036814 0.00036148
1 -1.946 0.94671
0 0.00034379 0.00033778
1 -1.9478 0.94847
0 6.6372e-05 6.5863e-05
1 -1.977 0.97713
0 0.00013229 0.00013085
1 -1.9676 0.96782
0 5.7114e-05 5.6707e-05
1 -1.9787 0.97878
0 5.238e-05 5.2023e-05
1 -1.9796 0.97967
0 0.00017391 0.00017174
1 -1.9628 0.96316
0 0.00023816 0.00023469
1 -1.9565 0.95698
0 8.1988e-05 8.1288e-05
1 -1.9744 0.97461
0 0.00014758 0.00014589
1 -1.9657 0.96603
0 5.361e-05 5.3239e-05
1 -1.9793 0.97943
0 0.0024209 0.0023086
1 -1.8625 0.86719
0 0.00015898 0.00015709
1 -1.9644 0.96476
0 6.6975e-05 6.6458e-05
1 -1.9769 0.97703
0 0.00016003 0.00015812
1 -1.9643 0.96464
0 0.00014862 0.00014691
1 -1.9656 0.96591
0 8.5169e-05 8.4428e-05
1 -1.974 0.97412
0 0.00011023 0.00010914
1 -1.9704 0.9706
