0	0.785369	-0.0693666
0.001	0.785271	-0.138729
0.002	0.785103	-0.208083
0.003	0.784866	-0.277423
0.004	0.78456	-0.346745
0.005	0.784184	-0.416043
0.006	0.78374	-0.485313
0.007	0.783225	-0.554551
0.008	0.782642	-0.62375
0.009	0.781989	-0.692907
0.01	0.781268	-0.762017
0.011	0.780477	-0.831074
0.012	0.779617	-0.900075
0.013	0.778688	-0.969013
0.014	0.777691	-1.03788
0.015	0.776624	-1.10668
0.016	0.775489	-1.17541
0.017	0.774285	-1.24405
0.018	0.773012	-1.3126
0.019	0.771671	-1.38107
0.02	0.770261	-1.44943
0.021	0.768784	-1.5177
0.022	0.767237	-1.58586
0.023	0.765623	-1.65391
0.024	0.763941	-1.72184
0.025	0.762191	-1.78965
0.026	0.760373	-1.85734
0.027	0.758488	-1.92489
0.028	0.756535	-1.99231
0.029	0.754514	-2.05959
0.03	0.752427	-2.12672
0.031	0.750272	-2.1937
0.032	0.74805	-2.26052
0.033	0.745762	-2.32718
0.034	0.743407	-2.39367
0.035	0.740986	-2.45999
0.036	0.738498	-2.52614
0.037	0.735945	-2.5921
0.038	0.733325	-2.65787
0.039	0.73064	-2.72345
0.04	0.727889	-2.78884
0.041	0.725073	-2.85402
0.042	0.722192	-2.91899
0.043	0.719246	-2.98375
0.044	0.716236	-3.04828
0.045	0.71316	-3.1126
0.046	0.710021	-3.17668
0.047	0.706818	-3.24053
0.048	0.703551	-3.30413
0.049	0.70022	-3.36749
0.05	0.696826	-3.4306
0.051	0.69337	-3.49345
0.052	0.68985	-3.55604
0.053	0.686268	-3.61836
0.054	0.682624	-3.68041
0.055	0.678918	-3.74217
0.056	0.67515	-3.80366
0.057	0.671321	-3.86485
0.058	0.667431	-3.92574
0.059	0.66348	-3.98634
0.06	0.659468	-4.04663
0.061	0.655396	-4.1066
0.062	0.651265	-4.16625
0.063	0.647074	-4.22559
0.064	0.642824	-4.28459
0.065	0.638515	-4.34325
0.066	0.634147	-4.40158
0.067	0.629721	-4.45956
0.068	0.625238	-4.51718
0.069	0.620697	-4.57445
0.07	0.616099	-4.63135
0.071	0.611444	-4.68788
0.072	0.606732	-4.74404
0.073	0.601965	-4.79981
0.074	0.597142	-4.8552
0.075	0.592264	-4.9102
0.076	0.587331	-4.96479
0.077	0.582344	-5.01899
0.078	0.577302	-5.07277
0.079	0.572207	-5.12613
0.08	0.567059	-5.17908
0.081	0.561858	-5.23159
0.082	0.556605	-5.28367
0.083	0.551299	-5.33532
0.084	0.545943	-5.38651
0.085	0.540535	-5.43726
0.086	0.535077	-5.48755
0.087	0.529569	-5.53738
0.088	0.524011	-5.58674
0.089	0.518403	-5.63563
0.09	0.512748	-5.68403
0.091	0.507044	-5.73196
0.092	0.501292	-5.77939
0.093	0.495493	-5.82632
0.094	0.489647	-5.87275
0.095	0.483755	-5.91868
0.096	0.477818	-5.96409
0.097	0.471835	-6.00899
0.098	0.465807	-6.05335
0.099	0.459736	-6.09719
0.1	0.45362	-6.1405
0.101	0.447462	-6.18326
0.102	0.441261	-6.22548
0.103	0.435018	-6.26714
0.104	0.428734	-6.30825
0.105	0.422409	-6.3488
0.106	0.416043	-6.38878
0.107	0.409638	-6.42819
0.108	0.403194	-6.46702
0.109	0.396711	-6.50526
0.11	0.39019	-6.54292
0.111	0.383631	-6.57999
0.112	0.377036	-6.61646
0.113	0.370405	-6.65232
0.114	0.363738	-6.68758
0.115	0.357036	-6.72222
0.116	0.350299	-6.75625
0.117	0.343529	-6.78966
0.118	0.336726	-6.82244
0.119	0.32989	-6.85458
0.12	0.323022	-6.8861
0.121	0.316123	-6.91697
0.122	0.309194	-6.9472
0.123	0.302234	-6.97678
0.124	0.295245	-7.00571
0.125	0.288228	-7.03398
0.126	0.281182	-7.06159
0.127	0.274109	-7.08853
0.128	0.26701	-7.1148
0.129	0.259884	-7.14041
0.13	0.252733	-7.16533
0.131	0.245558	-7.18958
0.132	0.238358	-7.21314
0.133	0.231136	-7.23602
0.134	0.22389	-7.2582
0.135	0.216623	-7.27969
0.136	0.209335	-7.30049
0.137	0.202026	-7.32058
0.138	0.194697	-7.33997
0.139	0.18735	-7.35866
0.14	0.179983	-7.37663
0.141	0.172599	-7.3939
0.142	0.165199	-7.41045
0.143	0.157782	-7.42628
0.144	0.150349	-7.44139
0.145	0.142902	-7.45579
0.146	0.13544	-7.46946
0.147	0.127965	-7.4824
0.148	0.120478	-7.49461
0.149	0.112978	-7.5061
0.15	0.105468	-7.51685
0.151	0.0979465	-7.52688
0.152	0.0904157	-7.53616
0.153	0.082876	-7.54471
0.154	0.075328	-7.55253
0.155	0.0677724	-7.5596
0.156	0.0602102	-7.56594
0.157	0.0526419	-7.57153
0.158	0.0450683	-7.57638
0.159	0.0374901	-7.58049
0.16	0.0299082	-7.58386
0.161	0.0223232	-7.58648
0.162	0.0147359	-7.58836
0.163	0.00714704	-7.5895
0.164	-0.000442663	-7.58989
0.165	-0.00803244	-7.58954
0.166	-0.0156216	-7.58844
0.167	-0.0232093	-7.5866
0.168	-0.0307948	-7.58401
0.169	-0.0383775	-7.58068
0.17	-0.0459565	-7.57661
0.171	-0.0535311	-7.57179
0.172	-0.0611006	-7.56623
0.173	-0.0686643	-7.55993
0.174	-0.0762213	-7.55289
0.175	-0.083771	-7.54512
0.176	-0.0913126	-7.5366
0.177	-0.0988454	-7.52735
0.178	-0.106369	-7.51736
0.179	-0.113882	-7.50664
0.18	-0.121383	-7.49519
0.181	-0.128874	-7.48301
0.182	-0.136351	-7.4701
